image_name,points
medicakolkata_ccu3_mon--5_2022_5_18_13_3_14_a1.jpeg,"[363,203,904,186,907,520,371,539]"
medicakolkata_ccu3_mon--5_2022_6_8_22_3_21.jpeg,"[435,225,980,218,971,542,429,551]"
medicakolkata_ccu2_mon--8_2022_5_30_5_6_51.jpeg,"[343,194,825,169,841,524,360,555]"
medicakolkata_ccu2_mon--10_2022_6_8_1_7_47.jpeg,"[410,224,771,211,663,494,314,526]"
medicakolkata_ccu1_mon--3_2022_6_8_4_0_13.jpeg,"[528,185,1071,207,1052,595,516,572]"
medicakolkata_ccu3_mon--5_2022_5_18_13_3_14.jpeg,"[377,193,916,206,911,537,374,526]"
medicakolkata_ccu2_mon--2_2022_6_8_17_6_4.jpeg,"[310,79,810,92,818,449,322,436]"
medicakolkata_mau_mon--2_2022_5_30_6_8_25.jpeg,"[465,169,891,172,885,485,459,482]"
medicakolkata_mau_mon--4_2022_5_18_13_7_11_a1.jpeg,"[443,256,943,237,950,571,453,600]"
medicakolkata_ccu1_mon--9_2022_6_20_23_1_34_a1.jpeg,"[402,146,875,175,863,586,394,551]"
spsludhiana_micuiithirdfloor_mon--MII03_2022_5_18_6_8_25_a1.jpeg,"[292,47,611,65,641,405,290,347]"
spsludhiana_micuiithirdfloor_mon--MII08_2022_5_30_4_9_10.jpeg,"[461,296,836,302,827,536,456,543]"
medicakolkata_ccu1_mon--8_2022_5_30_2_1_12.jpeg,"[374,158,954,146,960,563,388,576]"
medicakolkata_ccu1_mon--9_2022_6_20_0_1_11.jpeg,"[273,168,820,142,830,567,285,599]"
medicakolkata_ccu3_mon--1_2022_6_20_23_1_58_a1.jpeg,"[399,137,796,167,793,510,396,472]"
hcgbhavnagar_micu_mon--403_2022_5_18_10_20_0.jpeg,"[332,153,833,145,834,521,332,529]"
medicakolkata_ccu3_mon--3_2022_5_18_21_3_13_a1.jpeg,"[390,192,892,218,856,570,356,540]"
hcgnagpur_icu_mon--2_2022_5_18_1_30_14.jpeg,"[426,149,916,125,900,517,411,553]"
medicakolkata_ccu2_mon--5_2022_5_18_0_5_52.jpeg,"[578,200,1141,206,1110,608,545,612]"
kamalnayanbajaj_micu_mon--18_2022_6_20_13_47_17.jpeg,"[480,254,836,221,837,489,489,531]"
medicakolkata_ccu2_mon--5_2022_6_20_22_5_8_a1.jpeg,"[507,174,1059,189,1030,606,491,586]"
medicasiliguri_icu_mon--6_2022_6_8_18_15_26_a1.jpeg,"[518,94,794,38,800,332,506,404]"
medicakolkata_ccu1_mon--10_2022_6_20_11_1_22.jpeg,"[343,180,852,176,866,591,354,589]"
medicakolkata_ccu2_mon--5_2022_5_18_23_7_7.jpeg,"[309,163,843,213,849,623,315,568]"
medicakolkata_ccu1_mon--12_2022_5_30_0_2_2.jpeg,"[539,173,1097,171,1069,589,512,585]"
medicakolkata_ccu3_mon--2_2022_5_18_22_2_47.jpeg,"[451,197,992,196,959,560,426,568]"
medicakolkata_ccu2_mon--7_2022_5_30_15_6_51.jpeg,"[373,161,800,172,787,487,361,481]"
medicakolkata_rcu_mon--9_2022_5_18_21_5_51.jpeg,"[563,196,859,211,882,456,587,436]"
medicakolkata_ccu1_mon--12_2022_5_30_13_2_14.jpeg,"[647,178,1178,175,1158,575,626,586]"
medicakolkata_ccu3_mon--8_2022_6_8_15_3_44.jpeg,"[376,150,988,192,936,611,332,571]"
medicakolkata_ccu1_mon--4_2022_6_8_16_0_39.jpeg,"[496,159,1004,161,990,537,484,535]"
medicakolkata_ccu3_mon--6_2022_5_30_3_3_37.jpeg,"[399,170,932,210,890,598,365,561]"
hcgnagpur_icu_mon--4_2022_6_8_16_30_19.jpeg,"[311,377,611,378,609,595,309,594]"
medicakolkata_mau_mon--1_2022_6_8_11_9_4.jpeg,"[246,219,738,232,730,601,228,589]"
medicakolkata_ccu2_mon--1_2022_5_30_17_6_19.jpeg,"[448,216,909,185,867,501,414,540]"
medicakolkata_ccu3_mon--4_2022_5_30_7_2_48_a1.jpeg,"[386,145,895,140,906,497,402,500]"
medicakolkata_mau_mon--9_2022_6_20_15_5_55.jpeg,"[542,177,1014,152,1032,508,562,532]"
medicakolkata_ccu2_mon--5_2022_5_18_2_5_39.jpeg,"[579,201,1143,208,1112,610,546,614]"
medicakolkata_ccu1_mon--10_2022_5_18_21_1_54_a1.jpeg,"[444,171,934,153,930,561,445,579]"
hcgbhavnagar_micu_mon--405_2022_5_30_9_20_12.jpeg,"[563,166,813,156,810,431,559,451]"
medicakolkata_ccu2_mon--7_2022_5_30_14_6_51.jpeg,"[357,163,786,167,783,484,353,483]"
hcgnagpur_icu_mon--8_2022_6_20_23_31_1.jpeg,"[370,186,795,195,775,532,356,528]"
medicakolkata_ccu1_mon--10_2022_5_30_10_1_48.jpeg,"[424,192,977,172,994,588,444,601]"
medicakolkata_ccu3_mon--1_2022_6_20_14_1_47.jpeg,"[556,155,912,117,868,470,505,516]"
medicakolkata_ccu2_mon--4_2022_5_18_17_6_43_a1.jpeg,"[565,182,1068,174,1086,515,576,521]"
spsludhiana_micuiithirdfloor_mon--MII06_2022_6_8_9_8_50.jpeg,"[415,125,986,159,981,545,412,503]"
medicakolkata_ccu1_mon--9_2022_5_18_19_1_44.jpeg,"[470,159,909,114,913,539,470,592]"
medicakolkata_ccu3_mon--1_2022_5_30_20_2_26.jpeg,"[431,175,863,156,843,498,414,533]"
medicakolkata_ccu2_mon--5_2022_6_20_8_4_9.jpeg,"[231,174,774,222,779,629,237,582]"
medicasiliguri_icu_mon--7_2022_5_18_2_15_29_a1.jpeg,"[587,301,841,295,823,502,567,517]"
kamalnayanbajaj_micu_mon--18_2022_6_20_18_46_46.jpeg,"[484,250,836,216,835,487,491,529]"
medicakolkata_ccu1_mon--4_2022_6_20_7_0_36.jpeg,"[463,163,970,183,947,562,441,543]"
medicakolkata_rcu_mon--10_2022_5_30_15_5_53_a1.jpeg,"[525,178,836,178,833,450,527,457]"
medicakolkata_ccu3_mon--4_2022_6_8_20_2_31.jpeg,"[391,148,901,147,890,505,384,507]"
medicakolkata_ccu3_mon--3_2022_5_18_21_3_13.jpeg,"[392,218,896,193,919,544,421,565]"
medicakolkata_ccu3_mon--2_2022_5_18_11_2_35.jpeg,"[347,190,899,201,901,569,355,558]"
medicakolkata_rcu_mon--4_2022_5_18_5_4_20.jpeg,"[598,282,830,283,841,463,608,462]"
medicakolkata_ccu2_mon--9_2022_5_30_11_7_17.jpeg,"[392,153,891,135,912,495,416,510]"
medicakolkata_ccu1_mon--10_2022_6_8_16_1_40.jpeg,"[291,183,738,188,760,597,313,586]"
medicakolkata_ccu3_mon--3_2022_6_8_7_2_54_a1.jpeg,"[378,180,880,207,849,560,348,535]"
medicakolkata_ccu3_mon--3_2022_6_8_7_2_54.jpeg,"[402,205,905,185,929,539,428,556]"
medicakolkata_ccu2_mon--2_2022_5_18_15_5_56.jpeg,"[235,76,720,98,733,455,251,430]"
medicakolkata_ccu3_mon--4_2022_6_8_23_2_56.jpeg,"[392,149,901,147,890,505,384,508]"
medicakolkata_ccu3_mon--10_2022_5_30_7_4_1.jpeg,"[258,174,806,163,806,568,263,582]"
medicakolkata_ccu2_mon--7_2022_6_8_17_6_51.jpeg,"[451,160,869,169,853,483,437,481]"
medicakolkata_mau_mon--6_2022_5_30_1_8_20.jpeg,"[296,92,898,65,917,499,324,527]"
medicakolkata_ccu3_mon--6_2022_5_30_3_3_37_a1.jpeg,"[345,211,884,171,919,562,388,606]"
medicakolkata_rcu_mon--2_2022_5_30_18_4_40.jpeg,"[504,277,754,282,759,464,507,461]"
hcgnagpur_icu_mon--8_2022_6_20_3_31_9.jpeg,"[388,195,804,199,781,533,371,530]"
medicakolkata_ccu1_mon--10_2022_5_18_11_1_55.jpeg,"[338,173,839,167,858,580,356,579]"
medicakolkata_ccu2_mon--9_2022_5_30_17_7_28.jpeg,"[392,152,891,135,913,495,416,509]"
medicakolkata_ccu3_mon--1_2022_5_30_17_2_26.jpeg,"[432,176,864,156,844,498,416,533]"
medicakolkata_ccu3_mon--3_2022_5_30_21_3_3.jpeg,"[364,196,864,174,903,532,402,553]"
medicakolkata_ccu3_mon--5_2022_5_18_23_3_26.jpeg,"[419,194,962,204,950,531,404,520]"
hcgbhavnagar_micu_mon--404_2022_6_8_13_20_1.jpeg,"[214,111,800,81,823,536,238,554]"
medicakolkata_rcu_mon--2_2022_5_30_23_4_39.jpeg,"[579,277,821,280,825,463,583,463]"
medicakolkata_mau_mon--6_2022_5_30_0_8_19.jpeg,"[297,91,898,63,916,498,323,527]"
medicakolkata_ccu2_mon--4_2022_5_18_0_5_40.jpeg,"[215,165,690,189,708,537,236,509]"
medicakolkata_ccu3_mon--4_2022_5_30_14_2_49.jpeg,"[387,144,898,144,881,505,376,505]"
spsludhiana_micuiithirdfloor_mon--MII06_2022_6_20_18_8_36.jpeg,"[369,130,955,176,940,568,357,513]"
medicakolkata_ccu3_mon--1_2022_6_20_5_1_36.jpeg,"[553,156,908,117,865,471,503,518]"
medicakolkata_ccu1_mon--7_2022_6_8_12_1_16.jpeg,"[464,187,853,190,854,472,467,469]"
medicakolkata_ccu2_mon--4_2022_5_18_20_6_42.jpeg,"[538,185,996,169,972,512,517,529]"
hcgnagpur_icu_mon--1_2022_6_8_21_30_1.jpeg,"[310,162,750,147,770,473,333,486]"
medicakolkata_ccu2_mon--6_2022_6_20_7_4_33_a1.jpeg,"[659,106,1087,105,1015,405,586,436]"
medicakolkata_ccu1_mon--10_2022_5_18_20_1_55.jpeg,"[339,172,840,166,859,580,357,579]"
medicakolkata_mau_mon--6_2022_6_8_1_9_26.jpeg,"[218,86,799,68,818,511,229,523]"
medicakolkata_ccu3_mon--6_2022_6_8_4_3_19.jpeg,"[290,153,814,203,788,592,268,540]"
medicakolkata_ccu2_mon--3_2022_5_18_6_6_4.jpeg,"[258,166,620,208,670,563,300,502]"
medicakolkata_ccu2_mon--6_2022_6_20_7_4_33.jpeg,"[228,83,659,104,679,425,248,398]"
medicakolkata_ccu3_mon--1_2022_6_8_13_2_17_a1.jpeg,"[375,190,783,194,803,531,396,516]"
spsludhiana_micuiithirdfloor_mon--MII03_2022_5_18_6_8_25.jpeg,"[661,42,1109,44,1097,336,646,344]"
medicakolkata_rcu_mon--9_2022_5_18_20_5_50.jpeg,"[564,196,859,211,881,456,588,437]"
medicakolkata_mau_mon--5_2022_5_30_8_7_39.jpeg,"[257,266,691,274,719,620,283,606]"
medicakolkata_ccu3_mon--5_2022_5_18_19_3_26_a1.jpeg,"[355,203,893,190,894,515,360,533]"
medicakolkata_ccu2_mon--9_2022_6_8_6_7_25.jpeg,"[339,132,800,135,799,489,339,483]"
medicakolkata_ccu2_mon--5_2022_6_8_2_6_35.jpeg,"[240,151,752,199,766,613,251,560]"
medicakolkata_ccu1_mon--12_2022_5_30_8_2_13.jpeg,"[647,178,1178,175,1158,575,626,586]"
medicasiliguri_ccu_mon--1_2022_5_18_14_15_42_a1.jpeg,"[570,288,754,296,769,448,582,440]"
medicakolkata_ccu2_mon--3_2022_5_30_5_6_5_a1.jpeg,"[432,154,908,132,902,501,426,528]"
medicasiliguri_icu_mon--7_2022_5_18_2_15_29.jpeg,"[438,311,700,306,696,507,437,515]"
medicakolkata_ccu1_mon--10_2022_5_30_13_1_49.jpeg,"[424,192,977,172,994,588,444,601]"
